Run,BioSample,geo_loc_name_country_continent,geo_loc_name,Lat_Lon,Library Name,Organism,ReleaseDate,REPLICATE
SRR15198174,SAMN20296408,Surface,1296.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 3,USA: Tortugas Mountain,32.30 N 106.70 W,AMTCL3,Rep 3
SRR15198175,SAMN20296425,Surface,1296.0,Chihuahuan Desert,Moss Biocrust 5,USA: Tortugas Mountain,32.30 N 106.70 W,AMTMO5,Rep 5
SRR15198176,SAMN20296424,Surface,1296.0,Chihuahuan Desert,Moss Biocrust 4,USA: Tortugas Mountain,32.30 N 106.70 W,AMTMO4,Rep 4
SRR15198177,SAMN20296423,Surface,1296.0,Chihuahuan Desert,Moss Biocrust 3,USA: Tortugas Mountain,32.30 N 106.70 W,AMTMO3,Rep 3
SRR15198178,SAMN20296422,Surface,1296.0,Chihuahuan Desert,Moss Biocrust 2,USA: Tortugas Mountain,32.30 N 106.70 W,AMTMO2,Rep 2
SRR15198179,SAMN20296421,Surface,1296.0,Chihuahuan Desert,Moss Biocrust 1,USA: Tortugas Mountain,32.30 N 106.70 W,AMTMO1,Rep 1
SRR15198180,SAMN20296420,Surface,1296.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 5,USA: Tortugas Mountain,32.30 N 106.70 W,AMTLA5,Rep 5
SRR15198181,SAMN20296419,Surface,1296.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 4,USA: Tortugas Mountain,32.30 N 106.70 W,AMTLA4,Rep 4
SRR15198182,SAMN20296418,Surface,1296.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 3,USA: Tortugas Mountain,32.30 N 106.70 W,AMTLA3,Rep 3
SRR15198183,SAMN20296417,Surface,1296.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 2,USA: Tortugas Mountain,32.30 N 106.70 W,AMTLA2,Rep 2
SRR15198184,SAMN20296511,Surface,1213.0,Chihuahuan Desert,Peltula Lichen Biocrust 5,USA: White Sands National Park,32.73 N 106.22 W,WHSPT5,Rep 5
SRR15198185,SAMN20296510,Surface,1213.0,Chihuahuan Desert,Peltula Lichen Biocrust 4,USA: White Sands National Park,32.73 N 106.22 W,WHSPT4,Rep 4
SRR15198186,SAMN20296509,Surface,1213.0,Chihuahuan Desert,Peltula Lichen Biocrust 3,USA: White Sands National Park,32.73 N 106.22 W,WHSPT3,Rep 3
SRR15198187,SAMN20296508,Surface,1213.0,Chihuahuan Desert,Peltula Lichen Biocrust 2,USA: White Sands National Park,32.73 N 106.22 W,WHSPT2,Rep 2
SRR15198188,SAMN20296507,Surface,1213.0,Chihuahuan Desert,Peltula Lichen Biocrust 1,USA: White Sands National Park,32.73 N 106.22 W,WHSPT1,Rep 1
SRR15198189,SAMN20296506,Surface,1213.0,Chihuahuan Desert,Moss Biocrust 5,USA: White Sands National Park,32.73 N 106.22 W,WHSMO5,Rep 5
SRR15198190,SAMN20296416,Surface,1296.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 1,USA: Tortugas Mountain,32.30 N 106.70 W,AMTLA1,Rep 1
SRR15198191,SAMN20296407,Surface,1296.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 2,USA: Tortugas Mountain,32.30 N 106.70 W,AMTCL2,Rep 2
SRR15198192,SAMN20296406,Surface,1296.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 1,USA: Tortugas Mountain,32.30 N 106.70 W,AMTCL1,Rep 1
